i106_s01_iter48_easy_medium_long_lead_fire_ttc_only_scene_0138_medium_01_r1	scene-0138-medium-01	69e97a6c983982365b4336e95d2b48570729ab92984ebaa63b5e644118505f9a
i106_s02_iter49_hard_extreme_long_lead_fire_cpa_only_scene_0064_hard_00_r2	scene-0064-hard-00	2acfe05ed22c4c287daf74dabbbb6ef61d130bd9351088fb1be40b9270d6516e
i106_s03_iter48_easy_medium_long_lead_fire_cpa_only_scene_0166_easy_00_r2	scene-0166-easy-00	c83e3968a727d199c91dfda0987431fc943e47ca238d2a47f91ef7fc903bfb39
i106_s04_iter48_easy_medium_long_lead_fire_ttc_only_scene_0138_medium_01_r2	scene-0138-medium-01	69e97a6c983982365b4336e95d2b48570729ab92984ebaa63b5e644118505f9a
i106_s05_iter48_easy_medium_long_lead_fire_cpa_only_scene_0064_easy_00_r2	scene-0064-easy-00	b7665e1495ffe4fa045af495a44defe247e5497cb8d79330e5f054de86898392
i106_s06_iter48_easy_medium_long_lead_fire_cpa_only_scene_0166_medium_01_r2	scene-0166-medium-01	fa7d9c8912cf4ea62aa9c2498de516f048742cb93e903b59f0f7d6580138d30b
i106_s07_iter49_hard_extreme_long_lead_fire_cpa_only_scene_0064_hard_00_r1	scene-0064-hard-00	2acfe05ed22c4c287daf74dabbbb6ef61d130bd9351088fb1be40b9270d6516e
i106_s08_iter49_hard_extreme_long_lead_fire_ttc_only_scene_0411_extreme_00_r1	scene-0411-extreme-00	cd9c86bd4dbad2e6ff74f275f9fe43ad60aa0d9bf314971473ae2ddb01b703fb
i106_s09_iter48_easy_medium_long_lead_fire_ttc_only_scene_0071_easy_00_r2	scene-0071-easy-00	f04f159365d966c3bacf326375eb67463cf2614b85b9343eff2adec84d640750
i106_s10_iter49_hard_extreme_short_lead_fire_ttc_only_scene_0411_hard_00_r2	scene-0411-hard-00	9f38bbdcdc49fe6ac5274a967b9a209417d621f67060357b97deacb887cf67a9
i106_s11_iter49_hard_extreme_long_lead_fire_cpa_only_scene_0138_hard_00_r1	scene-0138-hard-00	8d0e3ec0d0068ae51047c0f3d2d63995d3a9dfeb60dc4071d7ec017d869fed2e
i106_s12_iter49_hard_extreme_long_lead_fire_cpa_only_scene_0071_extreme_00_r1	scene-0071-extreme-00	97b55b931c7ac5bf5991b1b0ba46907468dc4c6c8a3108df5b2dddbcf43ab0ed
i106_s13_iter48_easy_medium_long_lead_fire_cpa_only_scene_0064_medium_01_r1	scene-0064-medium-01	e8a5c2d53b016257f7c1e0758137395c72ff7d36de368af8937ff7d2249efd98
